Epoch,Name,Value
0,epoch_time,154.830091,1648739112.219753
0,epoch_avg_time,154.830091,1648739112.219816
0,accuracy,0.435778,1648739112.219840
0,loss,81.439079,1648739112.219861
0,val_acc,0.483622,1648739112.219880
0,val_loss,3.447690,1648739112.219899
1,epoch_time,124.415397,1648739247.514623
1,epoch_avg_time,139.622744,1648739247.514731
1,accuracy,0.615778,1648739247.514792
1,loss,2.116001,1648739247.514820
1,val_acc,0.788760,1648739247.514840
1,val_loss,0.882396,1648739247.514858
2,epoch_time,151.094073,1648739407.959527
2,epoch_avg_time,143.446520,1648739407.959680
2,accuracy,0.689778,1648739407.959720
2,loss,1.193094,1648739407.959741
2,val_acc,0.737575,1648739407.959759
2,val_loss,0.763743,1648739407.959777
3,epoch_time,147.373776,1648739559.631889
3,epoch_avg_time,144.428334,1648739559.657918
3,accuracy,0.722000,1648739559.658107
3,loss,0.967906,1648739559.658234
3,val_acc,0.780242,1648739559.658347
3,val_loss,0.674490,1648739559.658452
4,epoch_time,150.637560,1648739714.759100
4,epoch_avg_time,145.670179,1648739714.759243
4,accuracy,0.713333,1648739714.759269
4,loss,1.002591,1648739714.759290
4,val_acc,0.763209,1648739714.759309
4,val_loss,0.759554,1648739714.759327
5,epoch_time,121.410346,1648739839.211889
5,epoch_avg_time,141.626874,1648739839.211983
5,accuracy,0.684889,1648739839.212021
5,loss,1.262010,1648739839.212041
5,val_acc,0.667319,1648739839.212059
5,val_loss,0.994544,1648739839.212077
6,epoch_time,127.182475,1648739968.663488
6,epoch_avg_time,139.563388,1648739968.663616
6,accuracy,0.721111,1648739968.663640
6,loss,1.118096,1648739968.663661
6,val_acc,0.801961,1648739968.663679
6,val_loss,0.648849,1648739968.663697
7,epoch_time,155.074703,1648740135.482361
7,epoch_avg_time,141.502303,1648740135.507706
7,accuracy,0.721333,1648740135.507740
7,loss,0.983353,1648740135.507764
7,val_acc,0.752495,1648740135.507784
7,val_loss,0.727707,1648740135.507804
8,epoch_time,121.364593,1648740260.428027
8,epoch_avg_time,139.264779,1648740260.428135
8,accuracy,0.692889,1648740260.428161
8,loss,1.383252,1648740260.428183
8,val_acc,0.628231,1648740260.428202
8,val_loss,1.151552,1648740260.428222
9,epoch_time,127.569256,1648740391.038758
9,epoch_avg_time,138.095227,1648740391.038888
